year,round,raceId,circuitId,driverRef,team,grid,pred_pos,finish_pos
2024,1,1121,3,max_verstappen,Red Bull,1,1.86,1.0
2024,1,1121,3,leclerc,Ferrari,2,2.5,4.0
2024,1,1121,3,russell,Mercedes,3,3.56,5.0
2024,1,1121,3,sainz,Ferrari,4,4.39,3.0
2024,1,1121,3,perez,Red Bull,5,5.17,2.0
2024,1,1121,3,alonso,Aston Martin,6,5.78,9.0
2024,1,1121,3,norris,McLaren,7,5.79,6.0
2024,1,1121,3,hamilton,Mercedes,9,5.8,7.0
2024,1,1121,3,piastri,McLaren,8,7.47,8.0
2024,1,1121,3,stroll,Aston Martin,12,8.73,10.0
2024,1,1121,3,ricciardo,RB F1 Team,14,10.72,13.0
2024,1,1121,3,albon,Williams,13,11.05,15.0
2024,1,1121,3,hulkenberg,Haas F1 Team,10,11.48,16.0
2024,1,1121,3,tsunoda,RB F1 Team,11,11.53,14.0
2024,1,1121,3,ocon,Alpine F1 Team,19,11.61,17.0
2024,1,1121,3,gasly,Alpine F1 Team,20,12.03,18.0
2024,1,1121,3,zhou,Sauber,17,12.48,11.0
2024,1,1121,3,bottas,Sauber,16,13.62,19.0
2024,1,1121,3,sargeant,Williams,18,13.74,20.0
2024,1,1121,3,kevin_magnussen,Haas F1 Team,15,15.02,12.0
2024,2,1122,77,max_verstappen,Red Bull,1,1.85,1.0
2024,2,1122,77,leclerc,Ferrari,2,3.16,3.0
2024,2,1122,77,perez,Red Bull,3,4.17,2.0
2024,2,1122,77,russell,Mercedes,7,5.52,6.0
2024,2,1122,77,norris,McLaren,6,6.4,8.0
2024,2,1122,77,alonso,Aston Martin,4,7.12,5.0
2024,2,1122,77,bearman,Ferrari,11,7.31,7.0
2024,2,1122,77,hamilton,Mercedes,8,7.35,9.0
2024,2,1122,77,piastri,McLaren,5,7.58,4.0
2024,2,1122,77,tsunoda,RB F1 Team,9,10.78,15.0
2024,2,1122,77,albon,Williams,12,11.85,11.0
2024,2,1122,77,kevin_magnussen,Haas F1 Team,13,12.0,12.0
2024,2,1122,77,ricciardo,RB F1 Team,14,12.36,16.0
2024,2,1122,77,zhou,Sauber,20,14.21,18.0
2024,2,1122,77,bottas,Sauber,16,14.27,17.0
2024,2,1122,77,ocon,Alpine F1 Team,17,14.81,13.0
2024,2,1122,77,hulkenberg,Haas F1 Team,15,14.94,10.0
2024,2,1122,77,sargeant,Williams,19,16.22,14.0
2024,3,1123,1,leclerc,Ferrari,4,4.15,2.0
2024,3,1123,1,sainz,Ferrari,2,4.52,1.0
2024,3,1123,1,norris,McLaren,3,4.54,3.0
2024,3,1123,1,perez,Red Bull,6,5.4,5.0
2024,3,1123,1,russell,Mercedes,7,6.32,17.0
2024,3,1123,1,piastri,McLaren,5,6.52,4.0
2024,3,1123,1,alonso,Aston Martin,10,6.95,8.0
2024,3,1123,1,tsunoda,RB F1 Team,8,9.67,7.0
2024,3,1123,1,stroll,Aston Martin,9,10.0,6.0
2024,3,1123,1,albon,Williams,12,11.0,11.0
2024,3,1123,1,ocon,Alpine F1 Team,15,11.11,16.0
2024,3,1123,1,gasly,Alpine F1 Team,17,12.86,13.0
2024,3,1123,1,ricciardo,RB F1 Team,18,14.16,12.0
2024,3,1123,1,bottas,Sauber,13,14.3,14.0
2024,3,1123,1,zhou,Sauber,19,14.34,15.0
2024,3,1123,1,hulkenberg,Haas F1 Team,16,14.8,9.0
2024,3,1123,1,kevin_magnussen,Haas F1 Team,14,15.11,10.0
2024,4,1124,22,max_verstappen,Red Bull,1,1.85,1.0
2024,4,1124,22,perez,Red Bull,2,2.55,2.0
2024,4,1124,22,norris,McLaren,3,3.76,5.0
2024,4,1124,22,sainz,Ferrari,4,4.98,3.0
2024,4,1124,22,leclerc,Ferrari,8,5.59,4.0
2024,4,1124,22,piastri,McLaren,6,5.72,8.0
2024,4,1124,22,hamilton,Mercedes,7,6.46,9.0
2024,4,1124,22,alonso,Aston Martin,5,7.4,6.0
2024,4,1124,22,russell,Mercedes,9,7.86,7.0
2024,4,1124,22,stroll,Aston Martin,16,10.12,12.0
2024,4,1124,22,tsunoda,RB F1 Team,10,10.37,10.0
2024,4,1124,22,ocon,Alpine F1 Team,15,11.96,15.0
2024,4,1124,22,hulkenberg,Haas F1 Team,12,12.88,11.0
2024,4,1124,22,gasly,Alpine F1 Team,17,13.12,16.0
2024,4,1124,22,bottas,Sauber,13,13.68,14.0
2024,4,1124,22,kevin_magnussen,Haas F1 Team,18,13.78,13.0
2024,4,1124,22,sargeant,Williams,19,15.32,17.0
2024,5,1125,17,max_verstappen,Red Bull,1,1.14,1.0
2024,5,1125,17,perez,Red Bull,2,3.28,3.0
2024,5,1125,17,alonso,Aston Martin,3,3.6,7.0
2024,5,1125,17,leclerc,Ferrari,6,5.34,4.0
2024,5,1125,17,norris,McLaren,4,5.88,2.0
2024,5,1125,17,russell,Mercedes,8,5.97,6.0
2024,5,1125,17,sainz,Ferrari,7,7.04,5.0
2024,5,1125,17,piastri,McLaren,5,7.09,8.0
2024,5,1125,17,stroll,Aston Martin,11,9.43,15.0
2024,5,1125,17,ocon,Alpine F1 Team,13,9.44,11.0
2024,5,1125,17,hulkenberg,Haas F1 Team,9,10.08,10.0
2024,5,1125,17,hamilton,Mercedes,18,11.66,9.0
2024,5,1125,17,albon,Williams,14,12.16,12.0
2024,5,1125,17,kevin_magnussen,Haas F1 Team,17,12.93,16.0
2024,5,1125,17,zhou,Sauber,16,13.31,14.0
2024,5,1125,17,gasly,Alpine F1 Team,15,14.03,13.0
2024,5,1125,17,sargeant,Williams,20,15.7,17.0
2024,6,1126,79,max_verstappen,Red Bull,1,1.44,2.0
2024,6,1126,79,leclerc,Ferrari,2,2.32,3.0
2024,6,1126,79,perez,Red Bull,4,3.99,4.0
2024,6,1126,79,sainz,Ferrari,3,4.62,5.0
2024,6,1126,79,russell,Mercedes,7,5.99,8.0
2024,6,1126,79,piastri,McLaren,6,6.17,13.0
2024,6,1126,79,norris,McLaren,5,6.31,1.0
2024,6,1126,79,hamilton,Mercedes,8,9.1,6.0
2024,6,1126,79,stroll,Aston Martin,11,9.76,17.0
2024,6,1126,79,tsunoda,RB F1 Team,10,9.88,7.0
2024,6,1126,79,gasly,Alpine F1 Team,12,9.93,12.0
2024,6,1126,79,alonso,Aston Martin,15,9.99,9.0
2024,6,1126,79,ocon,Alpine F1 Team,13,10.39,10.0
2024,6,1126,79,hulkenberg,Haas F1 Team,9,10.94,11.0
2024,6,1126,79,albon,Williams,14,11.4,18.0
2024,6,1126,79,kevin_magnussen,Haas F1 Team,18,14.19,19.0
2024,6,1126,79,bottas,Sauber,16,14.3,16.0
2024,6,1126,79,ricciardo,RB F1 Team,20,14.38,15.0
2024,6,1126,79,zhou,Sauber,19,15.48,14.0
2024,7,1127,21,max_verstappen,Red Bull,1,1.5,1.0
2024,7,1127,21,leclerc,Ferrari,3,2.81,3.0
2024,7,1127,21,sainz,Ferrari,4,4.14,5.0
2024,7,1127,21,norris,McLaren,2,4.98,2.0
2024,7,1127,21,hamilton,Mercedes,8,6.04,6.0
2024,7,1127,21,piastri,McLaren,5,6.13,4.0
2024,7,1127,21,perez,Red Bull,11,6.48,8.0
